,Price 1st,Price 2nd,Price 3rd,,Combo Costs,,
Abundance,2,2,2,6, +60 with Illusionary Cycle,Abundance,Abundance
Amplify,1,1,1,3, +240 with Holy Knight or Elephant,Amplify,Amplify
Anchornaut,20,5,5,30,,Anchornaut,Anchornaut
Anguish,25,25,25,75,,Anguish,Anguish
Aradel Summergaard,33,,,33,,Aradel-Summergaard,Aradel Summergaard
Astrea,66,,,66,,Astrea,Astrea
Battle Mage,12,12,12,36,,Battle-Mage,Battle Mage
Beast Tamer,2,2,2,6,,Beast-Tamer,Beast Tamer
Blackcloud Ninja,2,2,2,6,,Blackcloud-Ninja,Blackcloud Ninja
Blood Archer,1,1,1,3,,Blood-Archer,Blood Archer
Blood Chains,33,33,33,99,,Blood-Chains,Blood Chains
Blood Transfer,0,0,0,0,,Blood-Transfer,Blood Transfer
Body Inversion,1,1,1,3,,Body-Inversion,Body Inversion
Bound Soul,6,6,6,18,,Bound-Soul,Bound Soul
Brennen Blackcloud,66,,,66,,Brennen-Blackcloud,Brennen Blackcloud
Bring Forth,0,0,0,0,,Bring-Forth,Bring Forth
Call to Action,33,20,20,73,,Call-to-Action,Call to Action
Call upon the Realms,6,6,6,18,,Call-upon-the-Realms,Call upon the Realms
Change Psyche,1,1,1,3,,Change-Psyche,Change Psyche
Changing Winds,60,10,1,71, +60 with Illusionary Cycle,Changing-Winds,Changing Winds
Chant of Protection,15,15,15,45,,Chant-of-Protection,Chant of Protection
Chant of Revenge,60,45,45,150,,Chant-of-Revenge,Chant of Revenge
Chant of the Dead,5,5,5,15,,Chant-of-the-Dead,Chant of the Dead
Chaos Gravity,33,33,33,99,,Chaos-Gravity,Chaos Gravity
Choke,20,20,20,60,,Choke,Choke
Coal Roarkwin,12,,,12,,Coal-Roarkwin,Coal Roarkwin
Crescendo,40,40,40,120,,Crescendo,Crescendo
Crimson Bomber,6,6,6,18,,Crimson-Bomber,Crimson Bomber
Crystal Shield,1,1,1,3,,Crystal-Shield,Crystal Shield
Cut the Strings,2,1,1,4,,Cut-the-Strings,Cut the Strings
Deep Freeze,3,3,3,9,,Deep-Freeze,Deep Freeze
Devotion,25,25,15,65,,Devotion,Devotion
Dimona Odinstar,12,,,12,,Dimona-Odinstar,Dimona Odinstar
Dispel,6,6,6,18,,Dispel,Dispel
Double Edge,33,20,20,73,,Double-Edge,Double Edge
Echo Greystorm,25,,,25,,Echo-Greystorm,Echo Greystorm
Elephant Rider,50,25,25,100,,Elephant-Rider,Elephant Rider
Empower,1,1,1,3,,Empower,Empower
Enchanted Violinist,6,6,6,18,,Enchanted-Violinist,Enchanted Violinist
Encore,33,33,33,99,,Encore,Encore
Enlightenment,2,2,2,6,,Enlightenment,Enlightenment
Expand Energy,20,6,6,32,,Expand-Energy,Expand Energy
Explosive Growth,6,6,6,18,,Explosive-Growth,Explosive Growth
Fade Away,12,1,1,14,,Fade-Away,Fade Away
Fear,70,60,60,190,,Fear,Fear
Figures in the Fog,0,0,0,0,,Figures-in-the-Fog,Figures in the Fog
Final Cry,25,25,25,75,,Final-Cry,Final Cry
Fire Archer,25,25,25,75,,Fire-Archer,Fire Archer
Flash Archer,1,1,1,3,,Flash-Archer,Flash Archer
Flute Mage,6,6,6,18,,Flute-Mage,Flute Mage
Freezing Blast,1,1,1,3,,Freezing-Blast,Freezing Blast
Frost Bite,3,5,5,13,,Frost-Bite,Frost Bite
Frost Fang,1,1,1,3,,Frost-Fang,Frost Fang
Frozen Crown,1,1,1,3,,Frozen-Crown,Frozen Crown
Gobi Sunshield,1,1,1,3,,Gobi-Sunshield,Gobi Sunshield
Golden Veil,1,1,1,3,,Golden-Veil,Golden Veil
Gravity Training,7,0,0,7,,Gravity-Training,Gravity Training
Guilt Link,3,3,3,9,,Guilt-Link,Guilt Link
Hammer Knight,60,45,45,150,,Hammer-Knight,Hammer Knight
Hand Tricks,25,25,25,75,,Hand-Tricks,Hand Tricks
Heal,12,12,9,33,,Heal,Heal
Hidden Power,33,33,33,99,,Hidden-Power,Hidden Power
Holy Knight,45,25,25,95,,Holy-Knight,Holy Knight
Holy Relics,1,1,1,3,,Holy-Relics,Holy Relics
Hunt Master,3,1,1,5,,Hunt-Master,Hunt Master
Hypnotize,25,10,10,45, +50 with Amplify,Hypnotize,Hypnotize
Ice Trap,25,15,15,55,,Ice-Trap,Ice Trap
Illusionary Cycle,40,45,50,135,,Illusionary-Cycle,Illusionary Cycle
Imperial Ninja,40,6,6,52,,Imperial-Ninja,Imperial Ninja
Iron Worker,12,12,12,36,,Iron-Worker,Iron Worker
Jericho Kill,25,,,25,,Jericho-Kill,Jericho Kill
Jessa Na Ni,25,,,25,,Jessa-Na-Ni,Jessa Na Ni
Join the Hunt,3,1,1,5,,Join-the-Hunt,Join the Hunt
Jungle Warrior,9,9,9,27,,Jungle-Warrior,Jungle Warrior
Kneel,50,50,50,150,,Kneel,Kneel
Koji Wolfcub,12,,,12,,Koji-Wolfcub,Koji Wolfcub
Law of Assurance,15,6,6,27,,Law-of-Assurance,Law of Assurance
Law of Fear,8,8,8,24,,Law-of-Fear,Law of Fear
Law of Sight,6,3,3,12,,Law-of-Sight,Law of Sight
Leech Warrior,1,1,1,3,,Leech-Warrior,Leech Warrior
Leo Sunshadow,50,,,50,,Leo-Sunshadow,Leo Sunshadow
Lick Wounds,25,25,25,75,,Lick-Wounds,Lick Wounds
Light Swordsman,1,1,1,3,,Light-Swordsman,Light Swordsman
Living Doll,1,1,1,3,,Living-Doll,Living Doll
Lulu Firststone,12,,,12,,Lulu-Firststone,Lulu Firststone
Maeoni Viper,12,,,12,,Maeoni-Viper,Maeoni Viper
Magic Syphon,40,12,12,64, +20 with Butterfly Monks and/or Shadow Spirits,Magic-Syphon,Magic Syphon
Magic Purity,25,25,25,75,,Magic-Purity,Magic Purity
Mark of the Goddess,50,35,35,120, +10 for each copy of Blood Chains,Mark-of-the-Goddess,Mark of the Goddess
Mark of the Red Flower,3,3,3,9,,Mark-of-the-Red-Flower,Mark of the Red Flower
Massive Growth,10,5,5,20,,Massive-Growth,Massive Growth
Memory Theft,0,0,0,0,,Memory-Theft,Memory Theft
Meteor,50,50,50,150,,Meteor,Meteor
Mind Probe,2,2,2,6,,Mind-Probe,Mind Probe
Mist Typhoon,20,20,20,60,,Mist-Typhoon,Mist Typhoon
